teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
17826,Charlotte Independence,Charlotte Independence,CLT,Charlotte Independence,Charlotte,076aed,f9f3c7,https://a.espncdn.com/i/teamlogos/soccer/500/17826.png,8687,charlotte_independance
17827,Pittsburgh Riverhounds,Pittsburgh Riverhounds,PIT,Pittsburgh Riverhounds,Pittsburgh,e8d035,000000,https://a.espncdn.com/i/teamlogos/soccer/500/17827.png,6271,pittsburgh_riverhounds
17828,Sacramento Republic FC,Sacramento Republic FC,SAC,Sacramento Republic FC,Sacramento,870505,473403,https://a.espncdn.com/i/teamlogos/soccer/500/17828.png,6632,sacramento_republic_fc
17830,Colorado Springs Switchbacks FC,Colorado Springs Switchbacks FC,COS,Colorado Springs Switchbacks FC,Colorado,666563,2f4bd8,https://a.espncdn.com/i/teamlogos/soccer/500/17830.png,7020,colorado_springs_switchbacks_fc
17832,Louisville City FC,Louisville City FC,LOU,Louisville City FC,Louisville,8801ad,d6c72a,https://a.espncdn.com/i/teamlogos/soccer/500/17832.png,8390,louisville_city_fc
17850,Phoenix Rising FC,Phoenix Rising FC,PHX,Phoenix Rising FC,Phoenix,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17850.png,9538,arizona_united
17851,FC Juarez,FC Juarez,JUA,FC Juarez,Juarez,89f442,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/17851.png,3305,mex.fc_juarez
17992,Koninklijke HFC,Koninklijke HFC,HFC,Koninklijke HFC,Koninklijke ,ffffff,091453,https://a.espncdn.com/i/teamlogos/soccer/500/17992.png,10015,ned.koninklijke_hfc
17997,Kerala Blasters FC,Kerala Blasters FC,KER,Kerala Blasters FC,Kerala,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17997.png,6443,kerala_blasters_fc
17998,Odisha FC,Odisha FC,OFC,Odisha FC,Odisha,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/17998.png,6445,delhi_dynamos_fc
18000,Chennaiyin FC,Chennaiyin FC,CFC,Chennaiyin FC,Chennaiyin,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18000.png,6449,chennaiyin_fc
18002,Mumbai City FC,Mumbai City FC,MCFC,Mumbai City FC,Mumbai City ,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18002.png,6447,mumbai_city_fc
